key_type,key_value,fact_text,source_label,source_url,confidence
street_name,broadway,"Broadway follows an older Native path through Manhattan and long predates the Commissioners' grid.",Wikipedia,https://en.wikipedia.org/wiki/Broadway_(Manhattan),0.84
street_name,wall street,"Wall Street takes its name from the defensive wall the Dutch built across northern New Amsterdam in 1653.",Wikipedia,https://en.wikipedia.org/wiki/Wall_Street,0.88
street_name,bowery,"The Bowery grew out of a Dutch farm road and remains one of Manhattan's oldest thoroughfares.",Wikipedia,https://en.wikipedia.org/wiki/Bowery,0.83
street_name,fifth avenue,"Fifth Avenue became the line that divided Manhattan's east and west street addresses and later one of the city's signature boulevards.",Wikipedia,https://en.wikipedia.org/wiki/Fifth_Avenue,0.78
street_name,houston street,"Houston Street marks the rough divide between much of Uptown and Downtown Manhattan and is named for statesman William Houstoun.",Wikipedia,https://en.wikipedia.org/wiki/Houston_Street,0.8
street_name,canal street,"Canal Street was built over the filled-in path of the polluted Collect Pond outflow canal.",Wikipedia,https://en.wikipedia.org/wiki/Canal_Street_(Manhattan),0.86
street_name,delancey street,"Delancey Street is named for James De Lancey Sr., whose estate once covered much of what became the Lower East Side.",Wikipedia,https://en.wikipedia.org/wiki/Delancey_Street,0.84
street_name,chrystie street,"Chrystie Street was renamed for Colonel John Chrystie and later gave its name to the 1967 subway connection linking former BMT and IND lines.",Wikipedia,https://en.wikipedia.org/wiki/Chrystie_Street,0.81
street_name,bleecker street,"Bleecker Street was named for the prominent Bleecker family, whose farm once covered part of this area.",Wikipedia,https://en.wikipedia.org/wiki/Bleecker_Street,0.77
street_name,stuyvesant street,"Stuyvesant Street is one of the few Manhattan streets that still preserves a pre-grid alignment from the Dutch and early republic city.",Wikipedia,https://en.wikipedia.org/wiki/Stuyvesant_Street,0.87
street_name,lafayette street,"Lafayette Street honors the Marquis de Lafayette and was opened as part of a 19th-century north-south traffic improvement.",Wikipedia,https://en.wikipedia.org/wiki/Lafayette_Street,0.74
street_name,fulton street,"Fulton Street was named for Robert Fulton, whose steamboat work reshaped transportation in New York.",Wikipedia,https://en.wikipedia.org/wiki/Fulton_Street_(New_York_City),0.79
street_name,orchard street,"Orchard Street took its name from the old De Lancey estate orchard and later became one of the Lower East Side's signature immigrant tenement corridors.",Wikipedia,https://en.wikipedia.org/wiki/Orchard_Street,0.85
street_name,essex street,"Essex Street was laid out by James Delancey before the Revolution and later became one of the Lower East Side's best-known Jewish commercial strips.",Wikipedia,https://en.wikipedia.org/wiki/Essex_Street,0.84
street_name,allen street,"Allen Street was widened in the 1930s, creating the broad median-lined corridor that still cuts through the Lower East Side today.",Wikipedia,https://en.wikipedia.org/wiki/Allen_Street,0.78
street_name,rivington street,"Rivington Street is named for Loyalist printer James Rivington, who secretly ran intelligence to George Washington during the Revolution.",Wikipedia,https://en.wikipedia.org/wiki/Rivington_Street,0.83
street_name,ludlow street,"Ludlow Street was built on land from the confiscated De Lancey estate and later became a defining Lower East Side music and nightlife strip.",Wikipedia,https://en.wikipedia.org/wiki/Ludlow_Street,0.77
street_name,bedford avenue,"Bedford Avenue is Brooklyn's longest street and grew from an older road linking Flatbush toward Newtown Creek before later urban expansion stitched it together.",Wikipedia,https://en.wikipedia.org/wiki/Bedford_Avenue,0.82
street_name,metropolitan avenue,"Metropolitan Avenue began as the Williamsburgh and Jamaica Turnpike, an 1816 toll road built over an older Native route.",Wikipedia,https://en.wikipedia.org/wiki/Metropolitan_Avenue,0.88
street_name,grand street,"Grand Street was early Williamsburg's main east-west commercial street and helped organize the neighborhood's north and south numbering system.",Wikipedia,https://en.wikipedia.org/wiki/Grand_Street_and_Grand_Avenue,0.84
street_name,manhattan avenue,"Manhattan Avenue became Greenpoint's main shopping spine and is still the center of the neighborhood's historic Little Poland corridor.",Wikipedia,https://en.wikipedia.org/wiki/Manhattan_Avenue_(Brooklyn),0.79
street_name,nassau avenue,"Nassau Avenue became one of Greenpoint's central east-west corridors as the neighborhood shifted from farmland into a surveyed industrial district in the 19th century.",Wikipedia,https://en.wikipedia.org/wiki/Greenpoint,_Brooklyn,0.78
street_name,franklin street,"Neziah Bliss opened a public turnpike along what is now Franklin Street in 1839, helping trigger Greenpoint's rapid urban growth.",Wikipedia,https://en.wikipedia.org/wiki/Greenpoint,_Brooklyn,0.9
street_name,leonard street,"Leonard Street is part of the inland Greenpoint grid that filled in after Neziah Bliss surveyed and urbanized the neighborhood in the 1830s.",Wikipedia,https://en.wikipedia.org/wiki/Greenpoint,_Brooklyn,0.73
street_name,eckford street,"Eckford Street ran through Greenpoint's industrial buildout; Union Porcelain Works, once one of America's best-known porcelain manufacturers, stood at 300 Eckford Street.",Wikipedia,https://en.wikipedia.org/wiki/Greenpoint,_Brooklyn,0.84
street_name,mcguinness boulevard,"McGuinness Boulevard was formerly Oakland Street, then widened after the Pulaski Bridge opened and renamed in 1964 for local alderman Peter McGuinness.",Wikipedia,https://en.wikipedia.org/wiki/McGuinness_Boulevard,0.9
street_name,newel street,"Newel Street is one of the north-south streets laid through Greenpoint as the old farming peninsula was divided into urban blocks during the 19th century.",Wikipedia,https://en.wikipedia.org/wiki/Greenpoint,_Brooklyn,0.72
street_name,diamond street,"Diamond Street is part of the north-south Greenpoint street grid that spread eastward as the neighborhood industrialized in the 1800s.",Wikipedia,https://en.wikipedia.org/wiki/Greenpoint,_Brooklyn,0.71
street_name,russell street,"Russell Street now marks one edge of McGolrick Park, reflecting how Greenpoint's street grid and parkland were fixed during the neighborhood's late 19th-century growth.",Wikipedia,https://en.wikipedia.org/wiki/McGolrick_Park,0.74
